,sub_id,run,presentation_order,video_number,video_category,category,expected_fear,fear,arousal,valence
0,04,1,1,34,3,Spiders,0.517,-0.16641666666666666,-0.23494444444444434,0.13973167896964556
1,04,1,2,25,3,Spiders,0.43,0.2205833333333334,0.07805555555555566,0.39673167896964556
2,04,1,3,16,2,Social,0.28,-0.16141666666666665,0.10705555555555568,0.3177316789696456
3,04,1,4,7,1,Heights,0.82,-0.41141666666666665,-0.49094444444444435,-0.5552683210303544
4,04,1,5,31,3,Spiders,0.499,-0.46241666666666664,-0.47194444444444433,-0.023268321030354366
5,04,1,6,30,3,Spiders,0.634,0.15758333333333335,-0.02994444444444433,0.35873167896964553
6,04,1,7,6,1,Heights,0.76,0.5365833333333334,0.46605555555555567,0.3407316789696455
7,04,1,8,12,1,Heights,0.903,-0.40141666666666664,0.07805555555555566,-0.5222683210303545
8,04,1,9,1,1,Heights,0.914,0.5165833333333334,0.3620555555555557,0.39673167896964556
9,04,1,10,22,2,Social,0.246,-0.46241666666666664,-0.14194444444444432,-0.5302683210303545
10,04,1,11,19,2,Social,0.503,-0.30441666666666667,-0.3659444444444443,-0.25226832103035446
11,04,1,12,17,2,Social,0.608,-0.05541666666666667,0.32505555555555565,-0.16126832103035438
12,04,2,13,24,2,Social,0.324,-0.13041666666666663,0.15905555555555562,0.1767316789696456
13,04,2,14,15,2,Social,0.239,0.15758333333333335,0.1360555555555557,-0.007268321030354352
14,04,2,15,14,2,Social,0.386,0.2025833333333334,0.3470555555555557,0.3267316789696456
15,04,2,16,3,1,Heights,0.823,0.5375833333333333,0.45005555555555565,0.40473167896964557
16,04,2,17,11,1,Heights,0.932,-0.43141666666666667,-0.29094444444444434,-0.5512683210303544
17,04,2,18,27,3,Spiders,0.714,0.29058333333333336,0.03405555555555562,0.1737316789696456
18,04,2,19,5,1,Heights,0.486,0.13458333333333333,0.32005555555555565,-0.09826832103035443
19,04,2,20,8,1,Heights,0.61,-0.41041666666666665,-0.28994444444444434,-0.5952683210303544
20,04,2,21,35,3,Spiders,0.641,-0.10941666666666666,0.053055555555555634,-0.18460876393759362
21,04,2,22,26,3,Spiders,0.499,0.4825833333333333,0.42205555555555563,0.3487316789696455
22,04,2,23,32,3,Spiders,0.76,-0.17641666666666667,-0.43594444444444436,-0.1902683210303544
23,04,2,24,21,2,Social,0.16,-0.44741666666666663,0.1410555555555557,-0.5142683210303545
24,04,3,25,4,1,Heights,0.638,0.18158333333333337,-0.22294444444444433,0.3197316789696456
25,04,3,26,9,1,Heights,0.511,-0.21141666666666664,-0.31594444444444436,-0.22826832103035444
26,04,3,27,28,3,Spiders,0.86,0.40258333333333335,0.056055555555555636,0.24373167896964554
27,04,3,28,36,3,Spiders,0.906,0.17358333333333337,0.2480555555555557,0.04173167896964558
28,04,3,29,18,2,Social,0.116,-0.3144166666666667,-0.46994444444444433,0.3177316789696456
29,04,3,30,20,2,Social,0.298,0.2255833333333333,-0.012944444444444314,0.3197316789696456
30,04,3,31,2,1,Heights,0.799,0.5265833333333334,-0.01794444444444432,0.3507316789696455
31,04,3,32,10,1,Heights,0.764,-0.3674166666666666,0.06105555555555564,-0.49826832103035446
32,04,3,33,33,3,Spiders,0.729,0.020583333333333342,-0.23494444444444434,0.10673167896964553
33,04,3,34,29,3,Spiders,0.966,0.5115833333333333,0.3900555555555557,0.37473167896964554
34,04,3,35,13,2,Social,0.309,0.15058333333333335,0.2760555555555557,-0.20826832103035442
35,04,3,36,23,2,Social,0.493,-0.40541666666666665,-0.48294444444444434,-0.3352683210303544
36,05,1,1,1,1,Heights,0.74,0.5532088334816909,0.3216944444444445,0.2361442596379677
37,05,1,2,5,1,Heights,0.773,0.6052088334816907,0.35369444444444453,0.08114425963796768
38,05,1,3,12,1,Heights,0.881,0.15720883348169085,-0.21830555555555547,0.002144259637967716
39,05,1,4,30,3,Spiders,0.07,-0.29879116651830917,-0.39030555555555546,0.06748306926471503
40,05,1,5,24,2,Social,0.021,-0.2507911665183091,-0.10430555555555548,0.13814425963796761
41,05,1,6,14,2,Social,0.031,0.03820883348169085,0.25269444444444455,0.11714425963796771
42,05,1,7,21,2,Social,0.043,-0.3067911665183091,-0.4333055555555555,-0.03685574036203232
43,05,1,8,31,3,Spiders,0.038,-0.3117911665183091,-0.5293055555555555,0.09614425963796769
44,05,1,9,32,3,Spiders,0.025,-0.32879116651830914,-0.031305555555555475,-0.21485574036203237
45,05,1,10,26,3,Spiders,0.0,-0.20079116651830914,0.27769444444444447,-0.18885574036203234
46,05,1,11,18,2,Social,0.101,-0.27079116651830915,-0.1793055555555555,0.3741442596379677
47,05,1,12,7,1,Heights,0.821,-0.28479116651830916,-0.2563055555555555,-0.03685574036203232
48,05,2,13,15,2,Social,0.077,0.08720883348169084,0.2916944444444445,0.05214425963796776
49,05,2,14,13,2,Social,0.156,0.1376908281408188,-0.0563055555555555,-0.42585574036203233
50,05,2,15,22,2,Social,0.114,-0.32779116651830914,-0.5243055555555555,-0.03685574036203232
51,05,2,16,4,1,Heights,0.771,0.6312088334816908,0.38969444444444445,0.20314425963796767
52,05,2,17,36,3,Spiders,0.049,-0.3067911665183091,-0.2623055555555555,-0.2758557403620323
53,05,2,18,34,3,Spiders,0.012,-0.3097911665183091,-0.4153055555555555,-0.19685574036203235
54,05,2,19,2,1,Heights,0.894,0.5472088334816909,0.3146944444444445,0.13314425963796772
55,05,2,20,8,1,Heights,0.893,-0.28979116651830916,-0.1823055555555555,-0.1508557403620323
56,05,2,21,11,1,Heights,0.732,0.5212088334816909,0.26469444444444445,0.3621442596379677
57,05,2,22,29,3,Spiders,0.067,-0.08179116651830914,-0.0563055555555555,-0.10385574036203227
58,05,2,23,27,3,Spiders,0.046,-0.0037911665183091303,0.27269444444444446,0.09114425963796768
59,05,2,24,23,2,Social,0.044,-0.33279116651830914,-0.5193055555555555,0.058144259637967655
60,05,3,25,16,2,Social,0.059,0.5842088334816908,0.3096944444444445,0.42614425963796765
61,05,3,26,17,2,Social,0.062,0.08820883348169084,0.13069444444444456,0.21614425963796768
62,05,3,27,20,2,Social,0.181,-0.27179116651830915,-0.2723055555555555,0.1091442596379677
63,05,3,28,9,1,Heights,0.89,-0.27379116651830915,-0.1253055555555555,-0.4018557403620323
64,05,3,29,10,1,Heights,0.864,-0.03979116651830916,0.0676944444444445,-0.21085574036203236
65,05,3,30,35,3,Spiders,0.036,-0.0007911665183091277,0.22569444444444453,-0.11414435063248429
66,05,3,31,25,3,Spiders,0.114,0.07120883348169088,0.20769444444444451,0.08414425963796768
67,05,3,32,33,3,Spiders,0.129,-0.3097911665183091,0.25469444444444456,-0.47785574036203227
68,05,3,33,3,1,Heights,0.808,0.6172088334816908,0.4236944444444445,0.18690071331483393
69,05,3,34,6,1,Heights,0.937,0.5062088334816908,0.26969444444444446,0.32014425963796767
70,05,3,35,28,3,Spiders,0.178,-0.031791166518309155,0.3436944444444445,-0.19985574036203235
71,05,3,36,19,2,Social,0.062,-0.3117911665183091,-0.4163055555555555,-0.2828557403620323
72,06,1,1,25,3,Spiders,0.013,0.16766666666666663,0.053305555555555495,0.1798333333333334
73,06,1,2,35,3,Spiders,0.161,-0.2503333333333333,-0.16069444444444447,-0.0861666666666665
74,06,1,3,6,1,Heights,0.186,-0.05833333333333335,0.08930555555555553,-0.09116666666666651
75,06,1,4,23,2,Social,0.0,-0.42133333333333334,-0.5386944444444445,0.4468333333333334
76,06,1,5,13,2,Social,0.0,0.16866666666666663,0.16430555555555548,-0.3531666666666665
77,06,1,6,14,2,Social,0.083,0.2816666666666666,0.10430555555555554,0.4318333333333335
78,06,1,7,29,3,Spiders,0.226,-0.19133333333333333,0.0563055555555555,0.1538333333333335
79,06,1,8,31,3,Spiders,0.139,-0.42133333333333334,-0.33969444444444447,0.20783333333333343
80,06,1,9,20,2,Social,0.135,-0.12833333333333335,0.14630555555555558,-0.3191666666666665
81,06,1,10,12,1,Heights,0.171,-0.10733333333333334,0.3003055555555555,-0.1951666666666665
82,06,1,11,4,1,Heights,0.243,0.2736666666666666,0.14730555555555558,-0.13216666666666654
83,06,1,12,7,1,Heights,0.273,-0.42133333333333334,0.1883055555555555,-0.39416666666666655
84,06,2,13,2,1,Heights,0.046,0.42066666666666663,0.25530555555555556,0.2988333333333335
85,06,2,14,9,1,Heights,0.325,-0.42133333333333334,-0.46669444444444447,-0.38216666666666654
86,06,2,15,16,2,Social,0.132,0.2686666666666666,-0.2476944444444445,0.3308333333333334
87,06,2,16,15,2,Social,0.215,0.18666666666666665,-0.20369444444444446,0.0548333333333334
88,06,2,17,27,3,Spiders,0.269,0.21166666666666667,-0.07469444444444445,0.13883333333333348
89,06,2,18,32,3,Spiders,0.339,-0.16733333333333333,0.12530555555555556,-0.12416666666666654
90,06,2,19,26,3,Spiders,0.275,0.3646666666666667,-0.19969444444444445,0.25283333333333347
91,06,2,20,1,1,Heights,0.21,0.43766666666666665,0.16430555555555548,0.36483333333333345
92,06,2,21,10,1,Heights,0.106,-0.05233333333333334,0.23430555555555554,-0.17916666666666659
93,06,2,22,21,2,Social,0.213,-0.20033333333333334,0.1993055555555555,-0.37316666666666654
94,06,2,23,19,2,Social,0.135,-0.42133333333333334,-0.36769444444444443,-0.3081666666666666
95,06,2,24,33,3,Spiders,0.163,-0.03933333333333333,0.0603055555555555,-0.10916666666666652
96,06,3,25,5,1,Heights,0.272,0.4666666666666667,0.1963055555555555,0.1818333333333334
