,sub_id,run,video_number,video_category,category,expected_fear,fear,arousal,valence
0,04,1,34,3,Spiders,0.517,0.296,0.299,0.265
1,04,1,25,3,Spiders,0.43,0.683,0.612,0.008
2,04,1,16,2,Social,0.28,0.301,0.641,0.087
3,04,1,7,1,Heights,0.82,0.051,0.043,0.96
4,04,1,31,3,Spiders,0.499,0.0,0.062,0.428
5,04,1,30,3,Spiders,0.634,0.62,0.504,0.046
6,04,1,6,1,Heights,0.76,0.999,1.0,0.064
7,04,1,12,1,Heights,0.903,0.061,0.612,0.927
8,04,1,1,1,Heights,0.914,0.979,0.896,0.008
9,04,1,22,2,Social,0.246,0.0,0.392,0.935
10,04,1,19,2,Social,0.503,0.158,0.168,0.657
11,04,1,17,2,Social,0.608,0.407,0.859,0.566
12,04,2,24,2,Social,0.324,0.332,0.693,0.228
13,04,2,15,2,Social,0.239,0.62,0.67,0.412
14,04,2,14,2,Social,0.386,0.665,0.881,0.078
15,04,2,3,1,Heights,0.823,1.0,0.984,0.0
16,04,2,11,1,Heights,0.932,0.031,0.243,0.956
17,04,2,27,3,Spiders,0.714,0.753,0.568,0.231
18,04,2,5,1,Heights,0.486,0.597,0.854,0.503
19,04,2,8,1,Heights,0.61,0.052,0.244,1.0
20,04,2,35,3,Spiders,0.641,0.353,0.587,0.5893404429072392
21,04,2,26,3,Spiders,0.499,0.945,0.956,0.056
22,04,2,32,3,Spiders,0.76,0.286,0.098,0.595
23,04,2,21,2,Social,0.16,0.015,0.675,0.919
24,04,3,4,1,Heights,0.638,0.644,0.311,0.085
25,04,3,9,1,Heights,0.511,0.251,0.218,0.633
26,04,3,28,3,Spiders,0.86,0.865,0.59,0.161
27,04,3,36,3,Spiders,0.906,0.636,0.782,0.363
28,04,3,18,2,Social,0.116,0.148,0.064,0.087
29,04,3,20,2,Social,0.298,0.688,0.521,0.085
30,04,3,2,1,Heights,0.799,0.989,0.516,0.054
31,04,3,10,1,Heights,0.764,0.095,0.595,0.903
32,04,3,33,3,Spiders,0.729,0.483,0.299,0.298
33,04,3,29,3,Spiders,0.966,0.974,0.924,0.03
34,04,3,13,2,Social,0.309,0.613,0.81,0.613
35,04,3,23,2,Social,0.493,0.057,0.051,0.74
36,05,1,1,1,Heights,0.74,0.886,0.877,0.226
37,05,1,5,1,Heights,0.773,0.938,0.909,0.381
38,05,1,12,1,Heights,0.881,0.49,0.337,0.46
39,05,1,30,3,Spiders,0.07,0.034,0.165,0.39466119037325265
40,05,1,24,2,Social,0.021,0.082,0.451,0.324
41,05,1,14,2,Social,0.031,0.371,0.808,0.345
42,05,1,21,2,Social,0.043,0.026,0.122,0.499
43,05,1,31,3,Spiders,0.038,0.021,0.026,0.366
44,05,1,32,3,Spiders,0.025,0.004,0.524,0.677
45,05,1,26,3,Spiders,0.0,0.132,0.833,0.651
46,05,1,18,2,Social,0.101,0.062,0.376,0.088
47,05,1,7,1,Heights,0.821,0.048,0.299,0.499
48,05,2,15,2,Social,0.077,0.42,0.847,0.41
49,05,2,13,2,Social,0.156,0.47048199465912793,0.499,0.888
50,05,2,22,2,Social,0.114,0.005,0.031,0.499
51,05,2,4,1,Heights,0.771,0.964,0.945,0.259
52,05,2,36,3,Spiders,0.049,0.026,0.293,0.738
53,05,2,34,3,Spiders,0.012,0.023,0.14,0.659
54,05,2,2,1,Heights,0.894,0.88,0.87,0.329
55,05,2,8,1,Heights,0.893,0.043,0.373,0.613
56,05,2,11,1,Heights,0.732,0.854,0.82,0.1
57,05,2,29,3,Spiders,0.067,0.251,0.499,0.566
58,05,2,27,3,Spiders,0.046,0.329,0.828,0.371
59,05,2,23,2,Social,0.044,0.0,0.036,0.404
60,05,3,16,2,Social,0.059,0.917,0.865,0.036
61,05,3,17,2,Social,0.062,0.421,0.686,0.246
62,05,3,20,2,Social,0.181,0.061,0.283,0.353
63,05,3,9,1,Heights,0.89,0.059,0.43,0.864
64,05,3,10,1,Heights,0.864,0.293,0.623,0.673
65,05,3,35,3,Spiders,0.036,0.332,0.781,0.576288610270452
66,05,3,25,3,Spiders,0.114,0.404,0.763,0.378
67,05,3,33,3,Spiders,0.129,0.023,0.81,0.94
68,05,3,3,1,Heights,0.808,0.95,0.979,0.2752435463231338
69,05,3,6,1,Heights,0.937,0.839,0.825,0.142
70,05,3,28,3,Spiders,0.178,0.301,0.899,0.662
71,05,3,19,2,Social,0.062,0.021,0.139,0.745
72,06,1,25,3,Spiders,0.013,0.589,0.592,0.324
73,06,1,35,3,Spiders,0.161,0.171,0.378,0.59
74,06,1,6,1,Heights,0.186,0.363,0.628,0.595
75,06,1,23,2,Social,0.0,0.0,0.0,0.057
76,06,1,13,2,Social,0.0,0.59,0.703,0.857
77,06,1,14,2,Social,0.083,0.703,0.643,0.072
78,06,1,29,3,Spiders,0.226,0.23,0.595,0.35
79,06,1,31,3,Spiders,0.139,0.0,0.199,0.296
80,06,1,20,2,Social,0.135,0.293,0.685,0.823
81,06,1,12,1,Heights,0.171,0.314,0.839,0.699
82,06,1,4,1,Heights,0.243,0.695,0.686,0.636
83,06,1,7,1,Heights,0.273,0.0,0.727,0.898
84,06,2,2,1,Heights,0.046,0.842,0.794,0.205
85,06,2,9,1,Heights,0.325,0.0,0.072,0.886
86,06,2,16,2,Social,0.132,0.69,0.291,0.173
87,06,2,15,2,Social,0.215,0.608,0.335,0.449
88,06,2,27,3,Spiders,0.269,0.633,0.464,0.365
89,06,2,32,3,Spiders,0.339,0.254,0.664,0.628
90,06,2,26,3,Spiders,0.275,0.786,0.339,0.251
91,06,2,1,1,Heights,0.21,0.859,0.703,0.139
92,06,2,10,1,Heights,0.106,0.369,0.773,0.683
93,06,2,21,2,Social,0.213,0.221,0.738,0.877
94,06,2,19,2,Social,0.135,0.0,0.171,0.812
95,06,2,33,3,Spiders,0.163,0.382,0.599,0.613
96,06,3,5,1,Heights,0.272,0.888,0.735,0.322
97,06,3,11,1,Heights,0.366,0.161,0.662,0.717
98,06,3,18,2,Social,0.291,0.259,0.33,0.176
99,06,3,22,2,Social,0.124,0.004,0.69,0.821
100,06,3,17,2,Social,0.231,0.764,0.256,0.672
101,06,3,3,1,Heights,0.369,1.0,0.748,0.163
102,06,3,8,1,Heights,0.504,0.0,0.716,0.79
103,06,3,30,3,Spiders,0.308,0.695,0.66,0.239
104,06,3,36,3,Spiders,0.371,0.698,0.337,0.324
105,06,3,24,2,Social,0.108,0.176,0.907,0.786
106,06,3,28,3,Spiders,0.269,0.805,0.236,0.23
107,06,3,34,3,Spiders,0.317,0.126,0.498,0.62
108,07,1,35,3,Spiders,0.169,0.246,0.755,0.194
109,07,1,31,3,Spiders,0.187,0.044,0.27,0.122
110,07,1,25,3,Spiders,0.119,0.709,0.927,0.043
111,07,1,12,1,Heights,0.148,0.005,1.0,1.0
112,07,1,3,1,Heights,0.113,0.657,0.499,0.197
