,sub_id,run,presentation_order,video_number,video_category,category,expected_fear,fear,arousal,valence
0,04,1,1,34,3,Spiders,0.517,0.296,0.299,0.735
1,04,1,2,25,3,Spiders,0.43,0.683,0.612,0.992
2,04,1,3,16,2,Social,0.28,0.301,0.641,0.913
3,04,1,4,7,1,Heights,0.82,0.051,0.043,0.040000000000000036
4,04,1,5,31,3,Spiders,0.499,0.0,0.062,0.5720000000000001
5,04,1,6,30,3,Spiders,0.634,0.62,0.504,0.954
6,04,1,7,6,1,Heights,0.76,0.999,1.0,0.9359999999999999
7,04,1,8,12,1,Heights,0.903,0.061,0.612,0.07299999999999995
8,04,1,9,1,1,Heights,0.914,0.979,0.896,0.992
9,04,1,10,22,2,Social,0.246,0.0,0.392,0.06499999999999995
10,04,1,11,19,2,Social,0.503,0.158,0.168,0.34299999999999997
11,04,1,12,17,2,Social,0.608,0.407,0.859,0.43400000000000005
12,04,2,13,24,2,Social,0.324,0.332,0.693,0.772
13,04,2,14,15,2,Social,0.239,0.62,0.67,0.5880000000000001
14,04,2,15,14,2,Social,0.386,0.665,0.881,0.922
15,04,2,16,3,1,Heights,0.823,1.0,0.984,1.0
16,04,2,17,11,1,Heights,0.932,0.031,0.243,0.04400000000000004
17,04,2,18,27,3,Spiders,0.714,0.753,0.568,0.769
18,04,2,19,5,1,Heights,0.486,0.597,0.854,0.497
19,04,2,20,8,1,Heights,0.61,0.052,0.244,0.0
20,04,2,21,35,3,Spiders,0.641,0.353,0.587,0.4106595570927608
21,04,2,22,26,3,Spiders,0.499,0.945,0.956,0.944
22,04,2,23,32,3,Spiders,0.76,0.286,0.098,0.405
23,04,2,24,21,2,Social,0.16,0.015,0.675,0.08099999999999996
24,04,3,25,4,1,Heights,0.638,0.644,0.311,0.915
25,04,3,26,9,1,Heights,0.511,0.251,0.218,0.367
26,04,3,27,28,3,Spiders,0.86,0.865,0.59,0.839
27,04,3,28,36,3,Spiders,0.906,0.636,0.782,0.637
28,04,3,29,18,2,Social,0.116,0.148,0.064,0.913
29,04,3,30,20,2,Social,0.298,0.688,0.521,0.915
30,04,3,31,2,1,Heights,0.799,0.989,0.516,0.946
31,04,3,32,10,1,Heights,0.764,0.095,0.595,0.09699999999999998
32,04,3,33,33,3,Spiders,0.729,0.483,0.299,0.702
33,04,3,34,29,3,Spiders,0.966,0.974,0.924,0.97
34,04,3,35,13,2,Social,0.309,0.613,0.81,0.387
35,04,3,36,23,2,Social,0.493,0.057,0.051,0.26
36,05,1,1,1,1,Heights,0.74,0.886,0.877,0.774
37,05,1,2,5,1,Heights,0.773,0.938,0.909,0.619
38,05,1,3,12,1,Heights,0.881,0.49,0.337,0.54
39,05,1,4,30,3,Spiders,0.07,0.034,0.165,0.6053388096267474
40,05,1,5,24,2,Social,0.021,0.082,0.451,0.6759999999999999
41,05,1,6,14,2,Social,0.031,0.371,0.808,0.655
42,05,1,7,21,2,Social,0.043,0.026,0.122,0.501
43,05,1,8,31,3,Spiders,0.038,0.021,0.026,0.634
44,05,1,9,32,3,Spiders,0.025,0.004,0.524,0.32299999999999995
45,05,1,10,26,3,Spiders,0.0,0.132,0.833,0.349
46,05,1,11,18,2,Social,0.101,0.062,0.376,0.912
47,05,1,12,7,1,Heights,0.821,0.048,0.299,0.501
48,05,2,13,15,2,Social,0.077,0.42,0.847,0.5900000000000001
49,05,2,14,13,2,Social,0.156,0.47048199465912793,0.499,0.11199999999999999
50,05,2,15,22,2,Social,0.114,0.005,0.031,0.501
51,05,2,16,4,1,Heights,0.771,0.964,0.945,0.741
52,05,2,17,36,3,Spiders,0.049,0.026,0.293,0.262
53,05,2,18,34,3,Spiders,0.012,0.023,0.14,0.34099999999999997
54,05,2,19,2,1,Heights,0.894,0.88,0.87,0.671
55,05,2,20,8,1,Heights,0.893,0.043,0.373,0.387
56,05,2,21,11,1,Heights,0.732,0.854,0.82,0.9
57,05,2,22,29,3,Spiders,0.067,0.251,0.499,0.43400000000000005
58,05,2,23,27,3,Spiders,0.046,0.329,0.828,0.629
59,05,2,24,23,2,Social,0.044,0.0,0.036,0.596
60,05,3,25,16,2,Social,0.059,0.917,0.865,0.964
61,05,3,26,17,2,Social,0.062,0.421,0.686,0.754
62,05,3,27,20,2,Social,0.181,0.061,0.283,0.647
63,05,3,28,9,1,Heights,0.89,0.059,0.43,0.136
64,05,3,29,10,1,Heights,0.864,0.293,0.623,0.32699999999999996
65,05,3,30,35,3,Spiders,0.036,0.332,0.781,0.423711389729548
66,05,3,31,25,3,Spiders,0.114,0.404,0.763,0.622
67,05,3,32,33,3,Spiders,0.129,0.023,0.81,0.06000000000000005
68,05,3,33,3,1,Heights,0.808,0.95,0.979,0.7247564536768663
69,05,3,34,6,1,Heights,0.937,0.839,0.825,0.858
70,05,3,35,28,3,Spiders,0.178,0.301,0.899,0.33799999999999997
71,05,3,36,19,2,Social,0.062,0.021,0.139,0.255
72,06,1,1,25,3,Spiders,0.013,0.589,0.592,0.6759999999999999
73,06,1,2,35,3,Spiders,0.161,0.171,0.378,0.41000000000000003
74,06,1,3,6,1,Heights,0.186,0.363,0.628,0.405
75,06,1,4,23,2,Social,0.0,0.0,0.0,0.943
76,06,1,5,13,2,Social,0.0,0.59,0.703,0.14300000000000002
77,06,1,6,14,2,Social,0.083,0.703,0.643,0.928
78,06,1,7,29,3,Spiders,0.226,0.23,0.595,0.65
79,06,1,8,31,3,Spiders,0.139,0.0,0.199,0.704
80,06,1,9,20,2,Social,0.135,0.293,0.685,0.17700000000000005
81,06,1,10,12,1,Heights,0.171,0.314,0.839,0.30100000000000005
82,06,1,11,4,1,Heights,0.243,0.695,0.686,0.364
83,06,1,12,7,1,Heights,0.273,0.0,0.727,0.10199999999999998
84,06,2,13,2,1,Heights,0.046,0.842,0.794,0.795
85,06,2,14,9,1,Heights,0.325,0.0,0.072,0.11399999999999999
86,06,2,15,16,2,Social,0.132,0.69,0.291,0.827
87,06,2,16,15,2,Social,0.215,0.608,0.335,0.5509999999999999
88,06,2,17,27,3,Spiders,0.269,0.633,0.464,0.635
89,06,2,18,32,3,Spiders,0.339,0.254,0.664,0.372
90,06,2,19,26,3,Spiders,0.275,0.786,0.339,0.749
91,06,2,20,1,1,Heights,0.21,0.859,0.703,0.861
92,06,2,21,10,1,Heights,0.106,0.369,0.773,0.31699999999999995
93,06,2,22,21,2,Social,0.213,0.221,0.738,0.123
94,06,2,23,19,2,Social,0.135,0.0,0.171,0.18799999999999994
95,06,2,24,33,3,Spiders,0.163,0.382,0.599,0.387
96,06,3,25,5,1,Heights,0.272,0.888,0.735,0.6779999999999999
97,06,3,26,11,1,Heights,0.366,0.161,0.662,0.28300000000000003
98,06,3,27,18,2,Social,0.291,0.259,0.33,0.8240000000000001
99,06,3,28,22,2,Social,0.124,0.004,0.69,0.17900000000000005
100,06,3,29,17,2,Social,0.231,0.764,0.256,0.32799999999999996
101,06,3,30,3,1,Heights,0.369,1.0,0.748,0.837
102,06,3,31,8,1,Heights,0.504,0.0,0.716,0.20999999999999996
103,06,3,32,30,3,Spiders,0.308,0.695,0.66,0.761
104,06,3,33,36,3,Spiders,0.371,0.698,0.337,0.6759999999999999
105,06,3,34,24,2,Social,0.108,0.176,0.907,0.21399999999999997
106,06,3,35,28,3,Spiders,0.269,0.805,0.236,0.77
107,06,3,36,34,3,Spiders,0.317,0.126,0.498,0.38
108,07,1,1,35,3,Spiders,0.169,0.246,0.755,0.806
109,07,1,2,31,3,Spiders,0.187,0.044,0.27,0.878
110,07,1,3,25,3,Spiders,0.119,0.709,0.927,0.957
111,07,1,4,12,1,Heights,0.148,0.005,1.0,0.0
112,07,1,5,3,1,Heights,0.113,0.657,0.499,0.8029999999999999
113,07,1,6,7,1,Heights,0.189,0.0,0.898,0.0
114,07,1,7,24,2,Social,0.106,0.0,0.934,0.040000000000000036
115,07,1,8,30,3,Spiders,0.186,0.111,0.742,0.9390000000000001
116,07,1,9,1,1,Heights,0.095,0.935,1.0,1.0
117,07,1,10,19,2,Social,0.124,0.0,1.0,0.0
118,07,1,11,13,2,Social,0.13,0.043,1.0,0.0
119,07,1,12,14,2,Social,0.148,0.192,0.828,0.8180000000000001
120,07,2,13,8,1,Heights,0.174,0.0,1.0,0.0
121,07,2,14,27,3,Spiders,0.122,0.137,0.816,0.8109999999999999
122,07,2,15,20,2,Social,0.122,0.057,0.813,0.79
123,07,2,16,29,3,Spiders,0.153,0.272,0.921,0.77
124,07,2,17,33,3,Spiders,0.178,0.082,0.732,0.753
125,07,2,18,34,3,Spiders,0.134,0.0,0.685,0.5880000000000001
126,07,2,19,4,1,Heights,0.121,0.872,0.976,0.819
127,07,2,20,6,1,Heights,0.142,0.795,0.982,0.606
128,07,2,21,10,1,Heights,0.16,0.054,1.0,0.0
129,07,2,22,22,2,Social,0.083,0.0,0.828,0.128
130,07,2,23,16,2,Social,0.116,1.0,1.0,1.0
131,07,2,24,17,2,Social,0.106,0.0,0.828,0.11399999999999999
132,07,3,25,5,1,Heights,0.14,0.816,1.0,0.611
133,07,3,26,9,1,Heights,0.22,0.0,1.0,0.0
134,07,3,27,23,2,Social,0.184,0.0,0.855,0.16600000000000004
135,07,3,28,18,2,Social,0.161,0.119,0.803,0.777
136,07,3,29,15,2,Social,0.171,0.626,0.777,0.7150000000000001
137,07,3,30,36,3,Spiders,0.22,0.085,0.737,0.753
138,07,3,31,21,2,Social,0.165,0.0,0.94,0.0010000000000000009
139,07,3,32,28,3,Spiders,0.106,0.221,0.756,0.917
140,07,3,33,26,3,Spiders,0.223,0.872,1.0,1.0
141,07,3,34,32,3,Spiders,0.202,0.07,0.872,0.3201614065427294
142,07,3,35,2,1,Heights,0.202,0.904,1.0,0.7090000000000001
143,07,3,36,11,1,Heights,0.221,0.104,1.0,0.0
144,08,1,1,12,1,Heights,0.0,0.0,0.786,0.0
145,08,1,2,11,1,Heights,0.0,0.0,0.54,0.0
146,08,1,3,5,1,Heights,0.0,0.072,0.971,0.18000000000000005
147,08,1,4,25,3,Spiders,0.829,0.922,1.0,1.0
148,08,1,5,15,2,Social,0.0,0.0,0.769,0.382
149,08,1,6,6,1,Heights,0.0,0.109,0.854,0.364
150,08,1,7,35,3,Spiders,0.878,0.114,0.651,0.688
151,08,1,8,27,3,Spiders,0.763,1.0,1.0,1.0
152,08,1,9,34,3,Spiders,0.836,0.0,0.797,0.681
153,08,1,10,20,2,Social,0.0,0.0,0.499,0.32499999999999996
154,08,1,11,19,2,Social,0.015,0.0,0.59,0.853
155,08,1,12,18,2,Social,0.0,0.0,0.252,1.0
156,08,2,13,29,3,Spiders,0.665,0.859,1.0,1.0
157,08,2,14,36,3,Spiders,0.771,0.0,0.496,0.634
158,08,2,15,32,3,Spiders,0.649,0.0,0.568,0.257
159,08,2,16,8,1,Heights,0.013,0.0,0.119,0.0
160,08,2,17,9,1,Heights,0.0,0.0,0.0,0.19299999999999995
161,08,2,18,16,2,Social,0.0,0.134,0.618,0.948
162,08,2,19,30,3,Spiders,0.646,0.352,0.53,0.741
163,08,2,20,2,1,Heights,0.0,0.771,0.825,1.0
164,08,2,21,3,1,Heights,0.046,1.0,1.0,1.0
165,08,2,22,17,2,Social,0.0,0.0,1.0,0.501
166,08,2,23,24,2,Social,0.0,0.0,0.813,0.879
167,08,2,24,23,2,Social,0.0,0.0,0.20924873148480347,0.501
168,08,3,25,7,1,Heights,0.0,0.0,0.499,0.501
169,08,3,26,4,1,Heights,0.0,0.0,0.833,0.28800000000000003
170,08,3,27,28,3,Spiders,0.727,1.0,1.0,1.0
171,08,3,28,26,3,Spiders,0.838,1.0,1.0,1.0
172,08,3,29,33,3,Spiders,0.851,0.773,0.808,1.0
173,08,3,30,21,2,Social,0.0,0.0,0.555,0.0
174,08,3,31,31,3,Spiders,0.836,0.171,0.538,0.876
175,08,3,32,1,1,Heights,0.0,0.212,0.763,0.5589999999999999
176,08,3,33,10,1,Heights,0.0,0.0,1.0,0.0
177,08,3,34,22,2,Social,0.0,0.0,1.0,0.0
178,08,3,35,13,2,Social,0.0,0.0,0.786,0.0
179,08,3,36,14,2,Social,0.0,0.717,1.0,1.0
180,09,1,1,5,1,Heights,0.777,0.885,0.885,1.0
181,09,1,2,10,1,Heights,0.94,0.633,0.576,0.863
182,09,1,3,28,3,Spiders,0.072,0.056,0.061,0.5740000000000001
