,sub_id,run,presentation_order,video_number,video_category,category,expected_fear,fear,arousal,valence
0,04,1,1,34,3,Spiders,0.517,-0.49180302000069,-0.7958284293482905,0.40975853401417756
1,04,1,2,25,3,Spiders,0.43,0.6518791156443801,0.26439795299937335,1.1634025467259983
2,04,1,3,16,2,Social,0.28,-0.4770267650181955,0.3626297903414893,0.9317376556589407
3,04,1,4,7,1,Heights,0.82,-1.2158395141429177,-1.6629784417476576,-1.6283060139808243
4,04,1,5,31,3,Spiders,0.499,-1.3665573149643608,-1.598619651764892,-0.06823358299759967
5,04,1,6,30,3,Spiders,0.634,0.4656983028649499,-0.10143095848160963,1.051968801655768
6,04,1,7,6,1,Heights,0.76,1.5857384305380289,1.5786721905421643,0.9991843960961851
7,04,1,8,12,1,Heights,0.903,-1.1862870041779288,0.26439795299937335,-1.531534603788256
8,04,1,9,1,1,Heights,0.914,1.526633410608051,1.2263924980049214,1.1634025467259983
9,04,1,10,22,2,Social,0.246,-1.3665573149643608,-0.4808090889063327,-1.554994339592515
10,04,1,11,19,2,Social,0.503,-0.8996276575175366,-1.239565349755779,-0.7397685203945142
11,04,1,12,17,2,Social,0.608,-0.1637701593893134,1.1010622227753253,-0.4729140256210677
12,04,2,13,24,2,Social,0.324,-0.3854139841267299,0.5387696366101106,0.5182598121088756
13,04,2,14,15,2,Social,0.239,0.4656983028649499,0.46086162768360517,-0.021314111389081597
14,04,2,15,14,2,Social,0.386,0.5986845977074,1.175582926965896,0.9581298584387322
15,04,2,16,3,1,Heights,0.823,1.5886936815345274,1.5244753147672039,1.1868622825302575
16,04,2,17,11,1,Heights,0.932,-1.2749445340728955,-0.9855174945606521,-1.6165761460786947
17,04,2,18,27,3,Spiders,0.714,0.8587466853993021,0.115356544618232,0.5094624111822784
18,04,2,19,5,1,Heights,0.486,0.3977275299454754,1.0841256990956503,-0.28816860616252815
19,04,2,20,8,1,Heights,0.61,-1.2128842631464187,-0.982130189824717,-1.7456046930021194
